问题描述,附件,机器编号,影响,原因分析,解决方案,当前状态,提出人,责任人,发生日期,关闭日期,备注
/tf_static 无法持续收到,,,,怀疑cyclonedds xml配置文件导致Qos策略异常,CLI中可以临时禁用配置文件，禁用后可以正常接收，确认禁用是否影响@徐梓涵,处理中,@徐梓涵,吴小龙,2026/05/09,,
头部相机链路断开,IMG20260413105233.jpg,10号机,影响数采 & 标定,可能运输途中线路松动,梳理线束后暂时正常,已解决,@徐梓涵,@胡月,2026/04/13,2026/04/14,
新软底深度相机点云异常,92e959e1a2874671a04ab2542f63d5ea.png,6号机 & 10号机,,,mm改成m，临时对策可使用，后续需要sls更新版本解决,已解决,@徐梓涵,,2026/04/13,2026/05/09,
头部相机开机偶尔会没有数据，需重启服务才有数据,20260319-195346.jpg,6,影响真机算法测试,"从系统性能上来看，当前相机处理未做核绑定处理，在系统高负载得情况下可能会存在强制问题（含GPU与CPU）
从转码（硬编码）逻辑处理来看，涉及到多次业务转码（YUYV->BGR8,BGR->去畸变+resize，YUYV422->yuyv420->H264）,并涉及3路相机触发3种图像，并行处理耗时较大，存在资源抢占。这部分需要与上层算法对齐原图与去畸变（是否可以保留一个）","任务排期：
系统性能优化：
4/3号前针对核隔离与优先级调整，进行整机与台架与压力测试
代码层优化：
4/10号前针对代码做进一步优化，含GPU高占有问题，上电初始化加容错处理机制，本地台架与整机压测，确保广角帧率稳定行
4）待拉通讨论项：
原图与去畸变是否需全部需要？
4/9：预计本周给出",已解决,@程垚,吴小龙,2026/03/18,2026/04/10,
头部相机正常的开机数据只有20帧左右，跟实际约定的30hz还是有偏差,20260319-203341.jpg,6,影响真机算法测试,同上,同上,已解决,@程垚,吴小龙,2026/03/18,2026/04/10,
头部相机运行一段时间会出现掉帧的情况，只有1-2帧左右,,6,影响真机算法测试、数采数据可用性,同上,同上,已解决,@程垚,吴小龙,2026/03/18,2026/04/10,
胸部imu没有数据,,6,影响真机算法测试,胸部没有安装IMU,头部采购IMU安装,已解决,@陈煜,吴小龙,2026/03/19,2026/04/10,
深度相机和雷达imu没有数据,,6,影响真机算法测试,深度以及雷达上面的IMU均没开发发布数据出来，因为没有上层算法提出这个需求，没有人用的话打开纯粹浪费资源,"5.9：当前只需要深度IMU，已有，B样机参数说明书上也有，问题关闭
提应用场景需求评估是否需要整机部署这么多IMU",已解决,@陈煜,吴小龙,2026/03/19,2026/05/09,
lidar2imu非刚性连接,,6,定位精度降低,,腹部与髋部支架固定,已解决,@陈煜,易文,2026/03/19,2026/03/24,
底层电机状态只有发消息才会有反馈,,6,,底层软件逻辑,电机状态应按照一定频率外发,已解决,@周玉康,周雄,2026/03/19,2026/03/20,
雷达、imu和相机硬同步还未完成,,6,,硬件层面暂不支持硬同步，需使用方明确IMU使用哪一个，进一步评估IMU如何做同步,"5.9：B样已提需求，B样机确认
暂时软同步解决，后续还是需要应同步",无法解决,@陈煜,吴小龙,2026/03/19,,
提供的标定文件与实际真机的实际严重不符合,,6,,,已获得真机URDF的传感器所在位置,已解决,@董彬彬,易文,2026/03/19,2026/04/10,
雷达频率也会降到5hz,IMG_3034.JPEG,6,,同上,同问题1,已解决,@董彬彬,吴小龙,2026/03/19,2026/04/10,
偶发左臂动作延时,,6,影响VLA左臂数采,待复现采集电机数据确认原因,,待处理,@卢伟,吴小龙,2026/03/31,,
驱动占用达到50%，GPU占用达40%~50%,,9,,,"任务排期：
系统性能优化：
4/3号前针对核隔离与优先级调整，进行整机与台架与压力测试
代码层优化：
4/10号前针对代码做进一步优化，含GPU高占有问题，上电初始化加容错处理机制，本地台架与整机压测，确保广角帧率稳定行
4）待拉通讨论项：
原图与去畸变是否需全部需要？",已解决,@周井江,吴小龙,2026/03/31,2026/03/31,
电机无法供电，工控机供电正常（前置操作：头部控制可能存在电机堵转，重启后发生异常）,,6,影响VLA数采,,返厂维修,已解决,@周玉康,吴小龙,2026/04/02,2026/04/13,
九号机和六号机头部电机顺序不一致（upper/state index 7;8;9),,9 & 6,影响tf泛用性,,"5.9：B样需求文档里已提出要求
UQI修改joint state临时解决",无法解决,@徐梓涵,@官玉动,2026/04/23,,
6号机orin风扇损坏,,6,CPU过热，无法正常使用,,已邮寄新的风扇更换,已解决,@朴天龙,@官玉动,2026/04/24,2026/04/27,
9号机充电器无法充电（已做交叉验证，非电池问题）,,9,,,"5.8：维修充电器已到货，确认正常使用
已从无锡邮寄充电器到深圳，损坏充电器邮寄上海维修",已解决,@呼修斌,@胡月,2026/04/29,2026/05/08,
10号机灵巧手拇指无法张开,b53bdefda4d250a227b31ff050988c91.jpg,10,无法数采，无法VLA验证,固件均有问题、右手小手指中端指节卡住、大手指侧摆和掌内收缩（联轴器）关节，远端指节屈伸均有问题、四指无法对齐怀疑某些地方绳驱有蠕变或者螺丝有松动、左手大手指配件坏掉了,"5.11：新的灵巧手已到货，待验证
已经寄给上海，待更换",处理中,@朴天龙,@胡月,2026/05/01,,
头部电机卡死，整机CAN通讯的终端电阻异常,,7,什么都做不了,可能是控制器的CAN烧了,机器寄回重庆维修,处理中,@朴天龙,@刘增桢,2026/04/30,,
头部电机卡死，开机几秒钟后自动关机,,9,什么都做不了,颈部电机卡死,机器寄回重庆维修,处理中,@朴天龙,@官玉动,2026/05/02,,
6号机右臂J6电机异常，导致摇操卡顿严重,,6,无法进行VLA数采,5.9：通过交叉验证，确定是线束损坏,"5.9：线束损坏，更换线束后正常，正在标零
邮寄执行器及线束，验证问题后更换",已解决,@卢伟,@秦遥,2026/05/07,2026/05/11,更换线束后正常使用
6号机器，手柄摇操无响应。多次重启后自然恢复。问题未定位,,6,无法进行VLN数采,5.9：偶发问题，重启后恢复，复现后拉日志给sls,,待处理,@卢伟,易文,2026/05/08,,未能复现，也未能定位根因
深度相机的左侧有异常遮挡,,9&10,遮挡区域深度值异常，影响融合效果,,尝试滤波消除,处理中,@徐梓涵,@胡月,2026/05/09,,
6号机右手第二关节异常，待验证,,,,,,待处理,,,2026/05/11,,
